headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
Brexit Has Arrived. But Boris Johnson’s Reign Is Just Beginning.,2020-02-01,0.7684,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.7684}",Opinion,"With his signature campaign promise fulfilled, the prime minister can now reshape Britain for a generation.","['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government', 'Immigration and Emigration']",https://www.nytimes.com/2020/01/31/opinion/brexit.html,article,Op-Ed
Plans for Alabama’s Deadly Prisons ‘Won’t Fix the Horrors’,2020-02-01,0.5267,"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.5267}",U.S.,"A panel appointed by the governor acknowledged that its recommendations could not fully address what the Justice Department has called “severe, systemic” conditions.","['Prisons and Prisoners', 'Prison Guards and Corrections Officers', 'Eighth Amendment (US Constitution)', 'Politics and Government']",https://www.nytimes.com/2020/01/31/us/politics/alabama-prisons.html,article,News
Hillary Clinton Slams Bernie Sanders for Not Working to Unite Democrats in 2016,2020-02-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.,"In a podcast interview on Friday, Mrs. Clinton also described the caucuses in Iowa, where Mr. Sanders leads in some polls, as “undemocratic.”","['Presidential Election of 2020', 'Presidential Election of 2016']",https://www.nytimes.com/2020/01/31/us/politics/hillary-clinton-bernie-sanders.html,article,News
Full Video: Senators Debate Impeachment Trial Amendments,2020-02-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.,Senators will vote on procedural motions in President Trump’s impeachment trial.,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment']",https://www.nytimes.com/video/us/politics/100000006954580/watch-live-impeachment-trial.html,multimedia,Video
Giuliani Sought Help for Client in Meeting With Ukrainian Official,2020-02-01,0.8225,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.8225}",World,"As he discussed the possibility of a White House meeting for Ukraine’s president, President Trump’s lawyer asked to save the Kyiv mayor’s job.","['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States International Relations', 'Corruption (Institutional)', 'Foreign Aid', 'Impeachment', 'United States Defense and Military Forces']",https://www.nytimes.com/2020/01/31/world/europe/giuliani-ukraine-klitschko-trump.html,article,News
Requiem for a Dream,2020-02-01,-0.3612,"{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.3612}",Opinion,"Britain exits Europe. It will be poorer, above all in its shriveled heart.","['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government']",https://www.nytimes.com/2020/01/31/opinion/brexit-uk.html,article,Op-Ed
Former Coast Guard Officer Accused of Plotting Terrorism Is Sentenced to 13 Years,2020-02-01,-0.926,"{'neg': 0.238, 'neu': 0.711, 'pos': 0.05, 'compound': -0.926}",U.S.,"Christopher Paul Hasson, a self-described white nationalist, plotted to kill journalists, Democratic politicians, Supreme Court justices and those he described as “leftists in general,” prosecutors said.","['Murders, Attempted Murders and Homicides', 'Firearms', 'Terrorism', 'Drug Abuse and Traffic']",https://www.nytimes.com/2020/01/31/us/christopher-hasson-coast-guard-terrorism.html,article,News
"Despite Evidence, Republicans Rallied Behind Trump. This Was Their Reasoning.",2020-02-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.,"Several Senate Republicans said that even if President Trump did everything impeachment managers said, he should not be removed.","['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Presidential Election of 2020']",https://www.nytimes.com/2020/01/31/us/politics/republican-response-impeachment.html,article,News
The Impeachment Trial Nears a Finale,2020-02-01,-0.4404,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.4404}",Opinion,Readers react as the Republicans vote to block witnesses in President Trump’s impeachment trial.,"['Impeachment', 'United States Politics and Government']",https://www.nytimes.com/2020/01/31/opinion/letters/senate-trump-trial.html,article,Letter
Diplomat at Center of Trump Impeachment Retires From State Department,2020-02-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.,"On a July 25 telephone call with the president of Ukraine, President Trump described Ambassador Yovanovitch as “bad news” and said, ominously, “She’s going to go through some things.”","['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Diplomatic Service, Embassies and Consulates']",https://www.nytimes.com/2020/01/31/us/politics/ambassador-ukraine-impeachment-retires.html,article,News
